,PLAYER_ID,PLAYER_NAME,TEAM_ID,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,FGA,FG3A,USG_PCT,AST_PCT,REB_PCT,OREB_PCT,DREB_PCT,TS_PCT,EFG_PCT,OFF_RATING,DEF_RATING,NET_RATING,Pos,Position3,Season
0,201166,Aaron Brooks,1610612741,69,49.3,21.8,4.5,8.0,1.3,0.4,3.6,0.401,0.357,0.766,20.9,8.2,0.225,0.265,0.043,0.018,0.068,0.494,0.471,102.3,102.3,0.0,PG,Guard,2015
1,203932,Aaron Gordon,1610612753,78,48.9,18.9,13.3,3.4,1.5,1.4,1.7,0.473,0.296,0.668,15.2,3.7,0.169,0.103,0.133,0.08,0.189,0.541,0.509,103.2,104.6,-1.4,PF,Big,2015
2,203940,Adreian Payne,1610612750,52,49.1,13.4,11.2,2.9,1.6,1.1,3.6,0.366,0.281,0.654,14.7,3.2,0.175,0.093,0.121,0.044,0.198,0.422,0.397,98.8,110.8,-12.0,PF,Big,2015
3,201143,Al Horford,1610612737,82,48.2,22.9,10.9,4.8,1.2,2.2,2.0,0.505,0.344,0.798,19.2,4.7,0.202,0.165,0.109,0.056,0.158,0.565,0.547,102.9,98.7,4.2,C,Big,2015
4,2744,Al Jefferson,1610612766,47,49.5,25.3,13.6,3.2,1.4,1.8,1.5,0.485,0.0,0.649,22.8,0.0,0.24,0.114,0.133,0.05,0.216,0.507,0.485,103.2,100.7,2.5,C,Big,2015
5,202329,Al-Farouq Aminu,1610612757,82,48.8,17.5,10.4,2.9,1.5,1.1,2.5,0.416,0.361,0.737,15.0,7.3,0.166,0.087,0.104,0.041,0.168,0.533,0.503,108.2,106.7,1.6,SF,Wing,2015
6,202692,Alec Burks,1610612762,31,50.5,26.1,6.9,4.0,1.1,0.3,3.2,0.41,0.405,0.752,21.2,5.0,0.246,0.14,0.069,0.019,0.121,0.52,0.458,101.8,101.4,0.5,SG,Guard,2015
7,203458,Alex Len,1610612756,78,48.2,18.6,15.7,2.6,1.0,1.6,3.8,0.423,0.143,0.728,16.5,0.2,0.202,0.087,0.156,0.091,0.223,0.482,0.424,98.2,105.9,-7.7,C,Big,2015
8,203459,Allen Crabbe,1610612757,81,48.5,19.2,5.0,2.3,1.5,0.4,1.5,0.459,0.393,0.867,15.6,6.6,0.159,0.072,0.049,0.012,0.086,0.572,0.541,106.5,105.5,1.0,SG,Guard,2015
9,202087,Alonzo Gee,1610612740,73,48.7,9.7,7.3,2.1,1.9,0.4,1.6,0.518,0.283,0.667,7.6,1.8,0.091,0.063,0.073,0.035,0.111,0.572,0.551,100.3,104.7,-4.4,SF,Wing,2015
